odb_file,param_group,realization,borehole,borehole_id,target_x,target_y,node_z,calculated_head
Job_P001_R04.odb,1,4,zk104,BH09,286.261,668.745,499.627,450.9857
Job_P001_R04.odb,1,4,zk137,BH10,328.931,675.79,502.079,477.4616
Job_P001_R04.odb,1,4,zk105,BH11,483.884,586.18,487.554,511.3853
Job_P001_R04.odb,1,4,zk410,BH12,416.455,437.474,482.247,506.8521
Job_P001_R04.odb,1,4,zk106,BH13,552.478,475.648,474.773,500.7478
Job_P001_R04.odb,1,4,zk136,BH14,393.028,343.22,484.06,464.5311
Job_P001_R04.odb,1,4,zk107,BH15,446.731,266.563,485.742,470.3112
Job_P001_R04.odb,1,4,zk135,BH16,354.713,291.468,486.725,438.7564
Job_P001_R04.odb,1,4,zk134,BH17,312.24,229.995,489.426,446.5777
Job_P001_R04.odb,1,4,zk108,BH18,329.522,202.805,491.454,457.94
Job_P001_R04.odb,1,4,zk133,BH19,245.013,207.144,486.842,438.8444
Job_P001_R04.odb,1,4,zk132,BH20,180.314,185.837,481.201,444.0719
Job_P001_R04.odb,1,4,zk109,BH21,166.718,120.398,482.295,445.8082
Job_P001_R04.odb,1,4,zk131,BH22,112.697,155.798,472.818,445.1253
Job_P001_R04.odb,1,4,zk110,BH23,63.104,220.681,460.829,430.1092
Job_P001_R05.odb,1,5,zk101,BH01,-107.247,837.298,460.635,453.4321
Job_P001_R05.odb,1,5,zk120,BH02,-79.056,786.162,460.024,436.1115
Job_P001_R05.odb,1,5,zk102,BH03,-1.701,784.3,474.041,447.0197
Job_P001_R05.odb,1,5,zk141,BH04,42.002,755.685,478.786,449.3008
Job_P001_R05.odb,1,5,zk103,BH05,97.323,727.843,485.133,447.8887
Job_P001_R05.odb,1,5,zk140,BH06,103.815,241.402,466.707,450.3899
Job_P001_R05.odb,1,5,zk139,BH07,189.974,727.986,498.776,464.2146
Job_P001_R05.odb,1,5,zk138,BH08,234.402,695.424,499.305,448.6704
Job_P001_R05.odb,1,5,zk104,BH09,286.261,668.745,499.627,450.1828
Job_P001_R05.odb,1,5,zk137,BH10,328.931,675.79,502.079,476.1809
Job_P001_R05.odb,1,5,zk105,BH11,483.884,586.18,487.554,512.2079
Job_P001_R05.odb,1,5,zk410,BH12,416.455,437.474,482.247,506.3339
Job_P001_R05.odb,1,5,zk106,BH13,552.478,475.648,474.773,501.8079
Job_P001_R05.odb,1,5,zk136,BH14,393.028,343.22,484.06,464.2318
