borehole_id,model_column
BH01,zk101
BH02,zk120
BH03,zk102
BH04,zk141
BH05,zk103
BH06,zk140
BH07,zk139
BH08,zk138
BH09,zk104
BH10,zk137
BH11,zk105
BH12,zk410
BH13,zk106
BH14,zk136
BH15,zk107
BH16,zk135
BH17,zk134
BH18,zk108
BH19,zk133
BH20,zk132
BH21,zk109
BH22,zk131
BH23,zk110
