model_column,w_lower,w_middle,w_upper,w_cov,w_dh,w_dv
zk101,0.7949122387758727,0.58,0.5055238550433383,-1.0,0.2928932188134524,-0.4854635393596361
zk120,0.8265277128954872,0.6127987652721242,0.5051278068302666,-0.7840688095105325,0.37322072076575186,-0.5
zk102,0.7677704930237268,0.5798357667626076,0.6458546947120238,-0.5794851936211092,0.4548865599147883,-0.16669346932468904
zk141,0.7427440565848533,0.5688254556039706,0.6966737456670129,-0.4228751873568075,0.5266414347623656,-0.053878220959929446
zk103,0.6839929732203568,0.5468504955465888,0.7640866554998913,-0.2638475188933329,0.604146550795129,0.09704370748427515
zk140,0.8348893036082472,0.5503667235467228,0.5987716020058439,0.23857387187449508,0.6230003864140639,-0.34110316230122567
zk139,0.5080805346599563,0.5000746824124174,0.904215497090858,-0.06877884690617832,0.6489750925426484,0.42145497840282664
zk138,0.46188191968491626,0.5194533828584637,0.917081814315391,0.021588397025599455,0.6973720182779098,0.4340473232252082
zk104,0.4134390005005057,0.5518095411906376,0.9294173964032131,0.1022159664309823,0.7180938247993012,0.4416862384241965
zk137,0.36518205869222997,0.5702666507512426,0.9593380670090891,0.17708077433703512,0.6815084427939859,0.5
zk105,0.5101004947504452,0.7386687944710881,0.8562813265721748,0.2371668043859818,0.5766188151041021,0.1546268834172725
zk410,0.5188176730426577,0.7428924228455547,0.7960595401916498,-0.06782773087653768,0.7005668744942586,0.02842442645794596
zk106,0.6772532251032084,0.8277683466797853,0.7532679270308024,-0.008926613280858975,0.4999800792906681,-0.14929492886630974
zk136,0.5000956929387865,0.6595808141891841,0.8081837243438049,-0.19547273024803882,0.6798217360431651,0.07154429508397642
zk107,0.5014306693754144,0.6446857963012063,0.8331505434471401,-0.4023725493552803,0.5493484119127561,0.11154031514394991
zk135,0.48263567048405565,0.5947014196211001,0.8252886189531903,-0.20934050247187724,0.6707449513279068,0.13489732767240414
zk134,0.4799378611092346,0.5238549252285828,0.8419747370726582,-0.1886285333201169,0.6272395942970879,0.1991384242462182
zk108,0.45330927709244084,0.5154811428335287,0.8634421892316753,-0.24958478523763464,0.5822408296900479,0.24735933937331467
zk133,0.5556380988116124,0.4823139601634253,0.8063969231538298,-0.05146716282899471,0.6194840808891854,0.1376920742647859
zk132,0.6629634436187534,0.47204529737106016,0.7436556428544845,0.10482900597937914,0.5862812349589333,0.0035528556388770838
zk109,0.6654095786147084,0.43107145824653703,0.751067525621062,0.1694584851987685,0.49287176715206904,0.029565880876284645
zk131,0.780107850554137,0.48466636540422026,0.6556110408095417,0.30031809829670986,0.5195634247702865,-0.19577721634452167
zk110,0.8931672728946232,0.5658147235378268,0.5382596034593431,0.3482818438295256,0.5662454001744603,-0.4808584588786516
